,name,sys.country,coord.lat,coord.lon,main.temp_max,main.humidity,wind.speed,clouds.all
235,Touros,BR,-5.2,-35.46,77.92,97,6.26,88
236,Rome,IT,41.89,12.48,54.81,81,4.7,40
237,Marsa Matruh,EG,31.35,27.25,57.2,82,11.41,0
238,Ekhabi,RU,53.51,142.97,20.86,89,19.8,56
239,Bethel,US,60.79,-161.76,32.0,88,13.87,90
240,Saint-Augustin,FR,44.83,-0.61,46.4,100,3.36,92
241,Zhangjiakou,CN,40.77,114.88,42.86,71,7.72,0
242,Chapais,CA,49.78,-74.86,33.8,80,4.7,90
243,Komsomolskiy,RU,67.55,63.78,-15.37,45,4.14,0
244,Mitsamiouli,KM,-11.38,43.28,81.34,100,5.37,24
245,Laguna,MX,27.52,-110.01,78.8,21,16.11,5
246,Agadir,MA,30.42,-9.58,64.4,59,5.82,68
247,Indiaroba,BR,-11.53,-37.51,74.68,96,7.72,88
248,Dalbandin,PK,28.9,64.41,56.81,33,4.03,0
249,Bluff,AU,-23.58,149.07,84.8,43,11.74,0
250,Grindavik,IS,63.84,-22.43,38.25,69,11.41,0
251,Vestmannaeyjar,IS,63.44,-20.27,40.25,86,14.2,0
252,Dokka,NO,60.83,10.07,8.17,70,1.79,0
253,Barra Patuca,HN,15.8,-84.28,79.54,91,14.43,68
254,Isla Aguada,MX,18.78,-91.49,89.6,49,16.11,5
255,Zalantun,CN,48.0,122.72,34.81,49,5.37,0
256,Banda Aceh,ID,5.56,95.32,75.49,93,3.58,56
257,Kentau,KZ,43.52,68.5,37.33,97,2.01,12
258,Baghdad,IQ,33.3,44.38,75.2,29,19.46,0
259,Nouadhibou,MR,20.93,-17.03,64.4,88,11.41,75
260,Ust-Nera,RU,64.57,143.24,6.28,77,2.68,68
261,Hershey,US,40.29,-76.65,45.37,93,2.57,90
262,Byron Bay,AU,-28.65,153.62,77.0,83,11.41,90
263,Matara,PE,-13.74,-72.9,44.53,98,1.9,88
264,Kavieng,PG,-2.57,150.8,84.26,100,7.94,48
265,Vila Velha,BR,-3.71,-38.6,80.6,88,4.7,75
266,Taunggyi,MM,20.78,97.03,53.44,82,1.23,12
267,Rambha,IN,19.52,85.09,71.48,94,6.6,0
268,Price,US,39.6,-110.81,51.8,23,24.16,1
269,Tigil,RU,57.8,158.67,27.97,89,13.2,92
270,Georgetown,GY,6.8,-58.16,77.96,83,6.71,88
271,Santa Rosa,AR,-36.62,-64.29,70.85,40,8.61,0
272,Kandi,BJ,11.13,2.93,74.95,60,2.57,8
273,Jumla,NP,29.28,82.18,23.83,95,1.68,0
274,Kampene,CD,-3.59,26.67,67.43,98,2.13,48
275,Dongsheng,CN,29.72,112.52,67.03,79,5.59,88
276,Pisco,PE,-13.71,-76.2,71.6,78,9.17,0
277,Havelock,US,34.88,-76.9,65.55,77,8.05,5
278,Rapid City,US,44.08,-103.23,39.65,64,5.82,1
279,Kayerkan,RU,69.35,87.76,-10.38,71,12.41,44
280,Mitu,IR,36.2,46.09,51.73,51,4.92,8
281,Pombia,IT,45.65,8.63,51.76,76,3.36,75
282,Baherden,TM,38.44,57.43,54.2,71,2.35,20
283,Lastoursville,GA,-0.81,12.73,73.24,94,2.13,92
284,Gobabis,NA,-22.45,18.97,71.6,73,1.12,76
285,Donnacona,CA,46.68,-71.73,34.7,86,3.36,20
286,Diego de Almagro,CL,-26.39,-70.05,63.11,80,2.35,0
287,Alvand,IR,36.19,50.06,60.8,44,4.7,0
288,Norman Wells,CA,65.28,-126.83,5.0,45,10.29,20
289,Sobolevo,RU,54.43,31.9,6.1,64,4.14,8
290,Atherton,GB,53.52,-2.49,36.77,99,3.36,76
291,Dawlatabad,AF,36.41,64.91,60.37,48,7.05,12
292,Sola,NO,58.89,5.65,33.8,37,12.75,0
293,Faya,SA,18.39,42.45,62.6,51,3.36,0
